mach1 vtest p=2: computed = 3.14059702932606077397, error=0.00099562426373234203, time=0.00009725899963086704, n=2
mach1 vtest p=2: computed = 3.14159177218217777749, error=0.00000088140761533850, time=0.00003119299981335644, n=4
mach1 vtest p=2: computed = 3.14159265358860251283, error=0.00000000000119060317, time=0.00001923200034070760, n=8
mach1 vtest p=2: computed = 3.14159265358979400418, error=0.00000000000000088818, time=0.00002104499981214758, n=16
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00002818699977069627, n=32
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00004067299960297532, n=64
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00006159900021884823, n=128
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00012669099942286266, n=256
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00017814500006352318, n=512
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00034647200027393410, n=1024
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00065636999988782918, n=2048
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00120100599997385871, n=4096
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00540392699986114167, n=8192
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.01527240100040216930, n=16384
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.01656372900015412597, n=32768
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.04079416100012167590, n=65536
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.08757213599983515451, n=131072
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.11953600699962407816, n=262144
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.18700364600044849794, n=524288
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.41992011299953446724, n=1048576
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.73652261400002316805, n=2097152
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=1.57228993500029901043, n=4194304
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=2.96389789000022574328, n=8388608
mach1 vtest p=2: computed = 3.14159265358979444827, error=0.00000000000000133227, time=5.89257442399957653834, n=16777216
mach1 vtest p=4: computed = 3.14059702932606077397, error=0.00099562426373234203, time=0.00053872900025453418, n=2
mach1 vtest p=4: computed = 3.14159177218217777749, error=0.00000088140761533850, time=0.00006840300011390354, n=4
mach1 vtest p=4: computed = 3.14159265358860295692, error=0.00000000000119015908, time=0.00005950499962636968, n=8
mach1 vtest p=4: computed = 3.14159265358979356009, error=0.00000000000000044409, time=0.00005036099992139498, n=16
mach1 vtest p=4: computed = 3.14159265358979400418, error=0.00000000000000088818, time=0.00006904099973326083, n=32
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00008261699986178428, n=64
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00030876599976181751, n=128
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00024369499988097232, n=256
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00038428700008807937, n=512
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00103593800031376304, n=1024
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00162914300017291680, n=2048
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00279541300005803350, n=4096
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00524611899982119212, n=8192
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.01039501299965195358, n=16384
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.02054111699999339180, n=32768
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.04102197800057183485, n=65536
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.08344658599980903091, n=131072
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.18810497600043163402, n=262144
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.33409808500073268078, n=524288
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.68401555000036751153, n=1048576
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=1.36430586799997399794, n=2097152
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=2.71255800499966426287, n=4194304
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=5.41107158199974946911, n=8388608
mach1 vtest p=4: computed = 3.14159265358979444827, error=0.00000000000000133227, time=10.16981500100064295111, n=16777216
mach1 vtest p=8: computed = 3.14059702932606077397, error=0.00099562426373234203, time=0.00568712699987372616, n=2
mach1 vtest p=8: computed = 3.14159177218217777749, error=0.00000088140761533850, time=0.00054673199974786257, n=4
mach1 vtest p=8: computed = 3.14159265358860251283, error=0.00000000000119060317, time=0.00010692100022424711, n=8
mach1 vtest p=8: computed = 3.14159265358979356009, error=0.00000000000000044409, time=0.00014411899974220432, n=16
mach1 vtest p=8: computed = 3.14159265358979311600, error=0.00000000000000000000, time=0.00019158000031893607, n=32
mach1 vtest p=8: computed = 3.14159265358979400418, error=0.00000000000000088818, time=0.00016328300080203917, n=64
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00026812499982042937, n=128
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00041091399998549605, n=256
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00070675000006303890, n=512
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00127914299991971347, n=1024
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00248620399997889763, n=2048
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.00541780499952437822, n=4096
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.01050948299962328747, n=8192
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.02119780700013507158, n=16384
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.04062914800033468055, n=32768
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.08227088600051501999, n=65536
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.20056363100047747139, n=131072
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.32504510499984462513, n=262144
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=0.68500121799934277078, n=524288
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=1.39992339099990203977, n=1048576
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=2.71190741200007323641, n=2097152
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=5.45639178300007188227, n=4194304
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=10.24837823100006062305, n=8388608
mach1 vtest p=8: computed = 3.14159265358979444827, error=0.00000000000000133227, time=20.62915895500009355601, n=16777216
