mach2 vtest nthreads=2: computed=3.14162102932503461972, error=0.00002837573524150372, time=0.00007717199878243264,  n=2
mach2 vtest nthreads=2: computed=3.14159268240439981668, error=0.00000002881460670068, time=0.00002307000067958143,  n=4
mach2 vtest nthreads=2: computed=3.14159265358983574856, error=0.00000000000004263256, time=0.00002346499968552962,  n=8
mach2 vtest nthreads=2: computed=3.14159265358979356009, error=0.00000000000000044409, time=0.00002511800084903371,  n=16
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00002819300061673857,  n=32
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00003300000025774352,  n=64
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00004595999962475616,  n=128
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00007226699926832225,  n=256
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00012162700113549363,  n=512
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00022067600002628751,  n=1024
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00043934999848715961,  n=2048
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00092691600002581254,  n=4096
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00166885300131980330,  n=8192
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00335811900004046038,  n=16384
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.01384365000012621749,  n=32768
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.02584944899899710435,  n=65536
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.03761420400041970424,  n=131072
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.08446216000083950348,  n=262144
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.16212028300105885137,  n=524288
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.18706904200007556938,  n=1048576
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.37118394100070872810,  n=2097152
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.67130008799904317129,  n=4194304
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=1.36391994400037219748,  n=8388608
mach2 vtest nthreads=2: computed=3.14159265358979400418, error=0.00000000000000088818, time=2.56798401499872852582,  n=16777216
mach2 vtest nthreads=4: computed=3.14162102932503461972, error=0.00002837573524150372, time=0.00013639000098919496,  n=2
mach2 vtest nthreads=4: computed=3.14159268240439937259, error=0.00000002881460625659, time=0.00003434000063862186,  n=4
mach2 vtest nthreads=4: computed=3.14159265358983619265, error=0.00000000000004307665, time=0.00003485799970803782,  n=8
mach2 vtest nthreads=4: computed=3.14159265358979311600, error=0.00000000000000000000, time=0.00003648700112535153,  n=16
mach2 vtest nthreads=4: computed=3.14159265358979356009, error=0.00000000000000044409, time=0.00003862900121021084,  n=32
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00006562599992321339,  n=64
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00005135500032338314,  n=128
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00007037999966996722,  n=256
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00010612799997034017,  n=512
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00050147899855801370,  n=1024
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00040201500087277964,  n=2048
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00085561500054609496,  n=4096
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00141742500090913381,  n=8192
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00247185400075977668,  n=16384
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.01167001399880973622,  n=32768
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.02102949899926898070,  n=65536
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.03939926500061119441,  n=131072
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.05263656799979798961,  n=262144
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.07745168600013130344,  n=524288
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.15497922100075811613,  n=1048576
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.32827727000039885752,  n=2097152
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.62532425399876956362,  n=4194304
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=1.25156153600073594134,  n=8388608
mach2 vtest nthreads=4: computed=3.14159265358979400418, error=0.00000000000000088818, time=2.48994744400079071056,  n=16777216
