zeta1 vtest p=2: computed = 2.73861278752583059415, error=0.40297986606396252185, time=0.00008300599802169017, n=2
zeta1 vtest p=2: computed = 2.92261298612503050975, error=0.21897966746476260624, time=0.00002961000063805841, n=4
zeta1 vtest p=2: computed = 3.02729785665784278947, error=0.11429479693195032652, time=0.00001754500044626184, n=8
zeta1 vtest p=2: computed = 3.08319302033945374930, error=0.05839963325033936670, time=0.00001507799970568158, n=16
zeta1 vtest p=2: computed = 3.11207383861108688450, error=0.02951881497870623150, time=0.00001308200080529787, n=32
zeta1 vtest p=2: computed = 3.12675278978900506033, error=0.01483986380078805567, time=0.00002018399754888378, n=64
zeta1 vtest p=2: computed = 3.13415252177151826274, error=0.00744013181827485326, time=0.00002697999661904760, n=128
zeta1 vtest p=2: computed = 3.13786752713559868866, error=0.00372512645419442734, time=0.00001907099795062095, n=256
zeta1 vtest p=2: computed = 3.13972882391625951470, error=0.00186382967353360129, time=0.00002829300137818791, n=512
zeta1 vtest p=2: computed = 3.14066042197831096772, error=0.00093223161148214828, time=0.00007666300007258542, n=1024
zeta1 vtest p=2: computed = 3.14112645857002803496, error=0.00046619501976508104, time=0.00006358199971145950, n=2048
zeta1 vtest p=2: computed = 3.14135953627386665943, error=0.00023311731592645657, time=0.00010089400166179985, n=4096
zeta1 vtest p=2: computed = 3.14147608998000826830, error=0.00011656360978484770, time=0.00023759000032441691, n=8192
zeta1 vtest p=2: computed = 3.14153437054690032326, error=0.00005828304289279274, time=0.00037468699883902445, n=16384
zeta1 vtest p=2: computed = 3.14156351175884340776, error=0.00002914183094970824, time=0.00167541900009382516, n=32768
zeta1 vtest p=2: computed = 3.14157808259693904773, error=0.00001457099285406827, time=0.00273883900081273168, n=65536
zeta1 vtest p=2: computed = 3.14158536807404376034, error=0.00000728551574935565, time=0.00434837899956619367, n=131072
zeta1 vtest p=2: computed = 3.14158901082709673958, error=0.00000364276269637642, time=0.00912751000214484520, n=262144
zeta1 vtest p=2: computed = 3.14159083220724877350, error=0.00000182138254434250, time=0.01925349999874015339, n=524288
zeta1 vtest p=2: computed = 3.14159174289823805992, error=0.00000091069155505608, time=0.06769865200112690218, n=1048576
